,Calories,Carbs,Category,Cholesterol,Fat,Fiber,Protein,Restaurant,Saturated Fat,Sodium,Sugars,Trans Fat,calories,carbs,category,deets_url,fat_content,name
4466,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,1521,96,"
Entrees
",http://chubbygrub.com/food/chicken-and-broccoli-pasta/,92,Chicken & Broccoli Pasta
4467,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,1674,80,"
Entrees
",http://chubbygrub.com/food/chicken-and-broccoli-pasta-with-linguini/,96,Chicken & Broccoli Pasta (with linguini)
4468,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,1253,88,"
Entrees
",http://chubbygrub.com/food/chicken-and-mushroom-alfredo/,64,Chicken & Mushroom Alfredo
4469,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,405,8,"
Chicken
",http://chubbygrub.com/food/chicken-bella/,18,Chicken Bella
4470,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,405,8,"
Chicken
",http://chubbygrub.com/food/chicken-bella-2/,18,Chicken Bella
4471,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,500,17,"
Chicken
",http://chubbygrub.com/food/chicken-bella-fandt/,23,Chicken Bella – F&T
4472,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,898,70,"
Burgers
",http://chubbygrub.com/food/chicken-blt/,48,Chicken BLT
4473,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,397,10,"
Chicken
",http://chubbygrub.com/food/chicken-fresco/,19,Chicken Fresco
4474,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,113,4,"
Chicken
",http://chubbygrub.com/food/chicken-tenders-traditional/,5,Chicken Tenders – Traditional
4475,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,1053,86,"
Chicken
",http://chubbygrub.com/food/chicken-three-ways/,41,Chicken Three Ways
4476,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,200,22,"
Soups
",http://chubbygrub.com/food/chicken-vegetable-harvest-soup/,8,Chicken Vegetable Harvest Soup
4477,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,180,24,"
Desserts
",http://chubbygrub.com/food/chocolate-chip-cookie-each/,9,Chocolate Chip Cookie (each)
4478,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,500,29,"
Entrees
",http://chubbygrub.com/food/classic-barbecue-half-rack/,24,Classic Barbecue Half-Rack
4479,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,947,58,"
Burgers
",http://chubbygrub.com/food/classic-cheeseburger-2/,61,Classic Cheeseburger*
4480,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,300,14,"
Seafood
",http://chubbygrub.com/food/crab-cake-dinner-2/,20,Crab Cake Dinner
4481,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,1099,17,"
Breakfast
",http://chubbygrub.com/food/crabacado-omelet/,47,Crabacado Omelet
4482,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,1137,194,"
Breakfast
",http://chubbygrub.com/food/cranapple-crepes/,34,Cranapple Crepês
4483,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,136,14,"
Sides
",http://chubbygrub.com/food/creamy-mashed-cauliflower/,8,Creamy Mashed Cauliflower
4484,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,136,14,"
Sides
",http://chubbygrub.com/food/creamy-mashed-cauliflower-2/,8,Creamy Mashed Cauliflower
4485,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,136,14,"
Sides
",http://chubbygrub.com/food/creamy-mashed-cauliflower-fandt/,8,Creamy Mashed Cauliflower – F&T
4486,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,240,0,"
Seafood
",http://chubbygrub.com/food/creole-catch/,10,Creole Catch
4487,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,240,0,"
Seafood
",http://chubbygrub.com/food/creole-catch-2/,10,Creole Catch
4488,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,335,9,"
Seafood
",http://chubbygrub.com/food/creole-catch-fandt/,15,Creole Catch – F&T
